,pct,alg,compaIze,data,nClusters,nComponents,redenCl,gamma,gammaScale,maxNMI,avgNMI,stdNMI,avgPMI,stdPMI,maxF1,avgF1,stdF1,maxCA,avgCA,stdCA,maxARI,avgARI,stdARI
1935,36.67,KSVD,pca,wiki,1000,1000,sweep,3.0175504109632327,1000.0,0.2298457652035397,0.2263043331148495,0.00245408804500414,4.691127645281666,0.16380078607044862,0.23320834289398856,0.2232585025801445,0.0072474540207677195,0.05989013459895323,0.05684230371418392,0.0019178067829203717,0.004160179877677687,0.00281697468260035,0.0008559807835703587
1936,36.69,KSVD,pca,wiki,doc,17,sweep,3.0175504109632327,1000.0,0.22758626551608013,0.22529869075494555,0.0013049092461569869,1.5836214980758432,0.02519082358446317,0.2528252422366051,0.23907288839428062,0.005359603936591579,0.060654280288223714,0.05697693725979915,0.0014152945396143826,0.005054515208227704,0.0041101403738698205,0.0008835560754180622
1937,36.7,KSVD,pca,wiki,term,23,sweep,3.0175504109632327,1000.0,0.23557236678603202,0.2318681222628848,0.0018911429791779728,2.1354410300848623,0.05307019455498852,0.24664080285497475,0.23733795501289395,0.0042054017485731125,0.05904192942462493,0.05639011211390578,0.0011354997983590454,0.004899457325165164,0.004090980737943348,0.000689206723954375
1938,36.72,KSVD,pca,wiki,1000,1000,sweep,30.175504109632325,10000.0,0.31531451018293605,0.3122792917623923,0.0017050713598475487,0.9262100463717251,0.03823038324566072,0.36891185163211265,0.3674434781063149,0.0009294538636056973,0.08218457802484425,0.08153780428322857,0.00047236954227645013,0.05432801575221072,0.052074472679870545,0.001385550617855004
1939,36.74,KSVD,pca,wiki,doc,17,sweep,30.175504109632325,10000.0,0.09956118588964405,0.09751415474295883,0.0011694585288567823,1.9840462360618834,0.028310061912247407,0.402736935363177,0.40238960964292103,0.00017358805496328655,0.09747613990542443,0.09746410175694702,1.9808963669497835e-05,0.0005966163529609266,0.0005284531453316171,7.148457856794909e-05
1940,36.76,KSVD,pca,wiki,term,23,sweep,30.175504109632325,10000.0,0.0980932228078811,0.09629811886074433,0.0006524411622311642,1.8607195411868271,0.034915216311504904,0.40416786610016825,0.40416008716105767,2.6019422968749886e-06,0.09733431114462729,0.09733431114462729,0.0,-0.0005683880171520778,-0.000569085637859129,1.5435061213405396e-06
1941,36.78,KSVD,pca,wiki,1000,1000,sweep,301.7550410963233,100000.0,0.29325257743632865,0.27140970504267325,0.021053168822727075,0.9321823375376861,0.03397037931715117,0.37304712619925345,0.367586439824673,0.002738979830705789,0.08519757438226656,0.07773271159294454,0.0036903765382603772,0.023787361051650448,0.011159810372307353,0.011991110270516412
1942,36.8,KSVD,pca,wiki,doc,17,sweep,301.7550410963233,100000.0,0.02600382082881401,0.026003820828814007,6.108591709428835e-18,3.5555351104567863,0.007564727148322284,0.4061740642266202,0.4061740642266202,0.0,0.0979050854258841,0.09790508542588408,1.3877787807814457e-17,-0.0004195944857708731,-0.00041959448577087304,5.421010862427522e-20
1943,36.82,KSVD,pca,wiki,term,23,sweep,301.7550410963233,100000.0,0.029494250890958643,0.029443430612311305,0.00015246083594199408,3.569853025054086,0.01125599824279348,0.40710989956317245,0.40709412126487293,4.7334894898704014e-05,0.09785492647389486,0.09784496386825839,3.3208685454949594e-06,-0.0010628662170395098,-0.001175555739868528,3.756317427633937e-05
1944,36.84,KSVD,pca,wiki,1000,1000,sweep,3017.5504109632325,1000000.0,0.25450082033746235,0.25221655937570525,0.0011777887294427915,0.9136167448819019,0.01529717813745096,0.40364362224203626,0.4004000234214593,0.0014730728506200086,0.08893770258162938,0.08868019689983084,0.00017454296549134613,-0.00324726719424751,-0.004478586249627377,0.0007897861830598968
1945,36.86,KSVD,pca,wiki,doc,17,sweep,3017.5504109632325,1000000.0,0.014749183650395514,0.014749183650395514,1.5515838457795456e-18,0.017248015006778944,1.097135458930219e-18,0.41236344265768843,0.41236344265768843,0.0,0.09814100546213692,0.09814100546213692,0.0,0.0003499717268681082,0.00034997172686810827,5.421010862427522e-20
1946,36.88,KSVD,pca,wiki,term,23,sweep,3017.5504109632325,1000000.0,0.01809925120235711,0.01809925120235711,0.0,0.020612319883358335,2.6874220530932865e-18,0.4132280569729725,0.41322805697297244,5.551115123125783e-17,0.09812336334798898,0.09812336334798898,0.0,-0.0004089936662091726,-0.0004089936662091726,0.0
