,pct,alg,data,nClusters,nComponents,redenCl,gamma,avgNMI,stdNMI,avgPMI,stdPMI,avgF1,stdF1,avgCA,stdCA,avgARI
589,17.6,KPCA,ACM,512,3,sweep,3.840749154252516e-05,0.18465575624860728,0.0006294621547819791,7.173384366136723,0.0633709720262699,0.010538730015597715,0.0006657141745729724,0.008223359132450042,5.8679461612751724e-05,0.00400828610585055
590,17.6,KPCA,ACM,512,18,sweep,3.840749154252516e-05,0.16999541340590335,0.0025377189628116277,6.1558455385702135,0.07783031288189803,0.010568135745813525,0.0007053734640493764,0.008203375748830294,9.732669169761457e-05,0.00372146539127116
591,17.6,KPCA,ACM,512,1000,sweep,0.0003840749154252516,0.11461554601756026,0.011207745385475988,4.581768447564,0.1714108920480099,0.37014185931045895,0.1096334915691034,0.25284260352442167,0.0014596621846151318,0.0013341021856214479
592,17.6,KPCA,ACM,512,3,sweep,0.0003840749154252516,0.18565539769589237,0.0012519212206408665,7.465560024748035,0.12154888036108968,0.011143500452865903,0.0005130644955818569,0.00862339848703485,0.00010961157777118298,0.004107113438320711
593,17.7,KPCA,ACM,512,18,sweep,0.0003840749154252516,0.17128635831708475,0.0016642650078352347,6.212284931476132,0.07774545743549818,0.010250202793398739,0.0007550535370728087,0.007985438803620622,5.3114800973914764e-05,0.0037432116296259046
594,17.7,KPCA,ACM,512,1000,sweep,0.003840749154252516,0.11349584152047335,0.008604569399391016,4.525665765236388,0.0592299671219316,0.34858165404828123,0.10927308592613676,0.2432903493812585,0.002175207907514377,0.002586093124328121
595,17.7,KPCA,ACM,512,3,sweep,0.003840749154252516,0.1854822310282132,0.0012979958245066966,9.408632404303773,0.16590719715045568,0.010768463735881946,0.0007552342158852345,0.008323363505181687,4.8223395561048796e-05,0.00402430383104138
596,17.8,KPCA,ACM,512,18,sweep,0.003840749154252516,0.173051617113668,0.0024410653327355406,8.343514843288979,0.09307308830067851,0.010056208929052986,0.0004571608525155498,0.007820521229612139,0.000108490358574366,0.0037148003080963938
597,17.8,KPCA,ACM,512,1000,sweep,0.03840749154252516,0.12553164592242574,0.014191952078381528,5.276935513464256,0.18329381086246793,0.3333133969638404,0.13369875459795513,0.2242587126678036,0.0018927653108159223,0.0034652412862218518
598,17.8,KPCA,ACM,512,3,sweep,0.03840749154252516,0.15824806152535534,0.0010761122655818759,22.816517489026612,0.1771668168709382,0.021831475063270333,0.002183470755451645,0.015144365735274825,0.0001769119357511187,0.005394798362091379
599,17.9,KPCA,ACM,512,18,sweep,0.03840749154252516,0.18837728305848206,0.0033566379863812197,24.15666272617811,0.09027661494958039,0.07318250524134715,0.005206368627908205,0.05040581136035681,0.0013665901492105742,0.01742756605824316
600,17.9,KPCA,ACM,512,1000,sweep,0.3840749154252516,0.12240344448153326,0.01090694441148321,12.601629633883784,0.3814400616548515,0.33864871617360826,0.09043828067865853,0.23321616598889325,0.0009182373219808718,0.000837889302086664
601,17.9,KPCA,ACM,512,3,sweep,0.3840749154252516,0.10814995253268367,0.0022965629442689124,27.823341145480203,0.026573559721399593,0.43250562546605,0.010399336744851474,0.28035377585377586,0.0004914759438673443,0.0186515471765566
602,17.9,KPCA,ACM,512,18,sweep,0.3840749154252516,0.1322165907077359,0.0018041496231683137,28.038575731946928,0.012576936343251847,0.4936964243395005,0.0047871090224799705,0.31017020857929944,0.0007493402801001459,0.014943534064007927
603,18.0,KPCA,ACM,512,1000,sweep,3.840749154252516,0.13206515205447922,0.01255057536807261,11.758144535110517,0.3290490318335328,0.4535414503917662,0.07757131723687824,0.2938918404827496,0.0011139746460325155,0.0019513861526912137
604,18.0,KPCA,ACM,512,3,sweep,3.840749154252516,0.08338185743631328,0.0014854090776601318,12.45710547914361,0.09697214470669382,0.01793071615765355,0.0015674892034209904,0.012132318859591587,9.316097238137112e-05,0.0019988084084541775
605,18.0,KPCA,ACM,512,18,sweep,3.840749154252516,0.09856558091198982,0.002197759770709741,10.346526310592466,0.06217041562767977,0.06296505815065616,0.015923099652479622,0.029222397131488043,0.0009711781064590103,0.007804297071953412
606,18.1,KPCA,ACM,512,1000,sweep,38.40749154252516,0.11906208683563277,0.004648828539264002,11.216216426962118,0.26454674512275517,0.3814884278691241,0.04848174338254474,0.2632402597402598,0.000994158242836638,0.0018842712421474218
607,18.1,KPCA,ACM,512,3,sweep,38.40749154252516,0.08167697524169405,0.0010789514279742655,12.546657625085597,0.06941683751618662,0.018133721883767724,0.0016908911019289,0.012619047619047618,7.759891673460674e-05,0.0016436467943766128
